SN,Name,ReadWrite,DataType,Unit,Gain,Address,Quantity,Range,Description
1,Date & Time,RW,U32,N/A,1,40000,2,Epoch seconds UTC,
2,City,RW,U32,N/A,1,40002,2,,
3,Daylight Saving Time (DST),RW,U16,N/A,1,40004,1,"0: Disabled, 1: Enabled",
4,Time Zone,RO,I32,s,1,40005,2,Time zone offset measured in seconds,
5,DST State,RO,U16,N/A,1,40007,1,"0: DST time not entered, 1: DST time entered",
6,DST Offset,RO,U16,mins,1,40008,1,N/A,
7,The Local Time,RO,U32,N/A,1,40009,2,"Epoch seconds, local time of the SmartLogger",
8,Power On,WO,U16,N/A,1,40200,1,The data field can only be 0 for powering on all inverters.,
9,Power Off,WO,U16,N/A,1,40201,1,The data field can only be 0 for powering off all inverters.,
10,Power On/Off 1,WO,U16,N/A,1,40202,1,"0: Power off all inverters, 1: Power on all inverters","0: Power off all inverters, 1: Power on all inverters"
11,Power On/Off 2,WO,U16,N/A,1,40203,1,"0: Power on all inverters, 1: Power off all inverters","0: Power on all inverters, 1: Power off all inverters"
12,Transfer Trip,RW,U16,N/A,1,40204,1,"0: Run, 1: Fault outage. The device shuts down when it stops due to faults and does not respond to the startup request.",
13,Array Reset,WO,U16,N/A,1,40205,1,The data domain can only be 0.,
14,Active Adjustment 1,RW,U32,kW,10,40420,2,Adjusts the total active output power of all inverters connected to the SmartLogger. The adjustment value that is beyond the range is discarded.,Adjusts the total active output power of all inverters connected to the SmartLogger. The adjustment value that is beyond the range is discarded.
15,Reactive Adjustment 1,RW,I32,kVar,10,40422,2,Adjusts the total reactive output power of all inverters connected to the SmartLogger. The adjustment value that is beyond the range is discarded.,Adjusts the total reactive output power of all inverters connected to the SmartLogger. The adjustment value that is beyond the range is discarded.
16,Active Adjustment 2,RW,U32,kW,10,40424,2,Adjusts the total active output power of all inverters connected to the SmartLogger.,Adjusts the total active output power of all inverters connected to the SmartLogger.
17,Reactive Adjustment 2,RW,I32,kVar,10,40426,2,Adjusts the total reactive output power of all inverters connected to the SmartLogger.,Adjusts the total reactive output power of all inverters connected to the SmartLogger.
18,Active Power Adjustement By Power,RW,U16,%,10,40428,1,Adjusts the total active output power of all inverters connected to the SmartLogger. The percentage rnge is 0-100%.,
19,Power Factor Adjustment,RW,I16,N/A,1000,40429,1,"Adjusts the total reactive output power of all inverters connected to the SmartLogger. The range is (-1, -0.8] U [0.8, 1].",
20,DC Current,RO,I16,A,10,40500,1,"Equals the total input DC current of all inverters. If the value exceeds the range specified by I16, register 40554 is recommended.",
21,Input Power,RO,U32, kW,1000,40521,2,Equals the total input power of all inverters.,
22,CO2 Reduction 1,RO,U32,kg,10,40523,2,"Equals the total CO2 reduction of all inverters. If the value exceeds the range specified by U32, register 40550 is recommended.","Equals the total CO2 reduction of all inverters. If the value exceeds the range specified by U32, register 40550 is recommended."
